ecosystem,package,version,version_source,n_deposits
cran,Rcpp,0.12.7,description,1
cran,Rcpp,1.0.3,renv_lock,1
cran,Rcpp,1.1.1-1.1,renv_lock,1
cran,Rcpp,1.0.4.6,description,1
cran,Rcpp,0.12.17,description,1
cran,Rcpp,1.1.1-1,renv_lock,1
cran,Rcpp,1.0.6,description,1
cran,Rcpp,1.0.13-1,renv_lock,1
cran,Rcpp,1.0.13,description,1
cran,RcppArmadillo,15.2.3-1,renv_lock,11
cran,RcppArmadillo,0.12.6.4.0,renv_lock,4
cran,RcppArmadillo,14.4.2-1,renv_lock,4
cran,RcppArmadillo,14.2.3-1,renv_lock,3
cran,RcppArmadillo,14.0.2-1,renv_lock,3
cran,RcppArmadillo,14.0.0-1,renv_lock,2
cran,RcppArmadillo,0.12.6.1.0,renv_lock,2
cran,RcppArmadillo,0.10.5.0.0,renv_lock,2
cran,RcppArmadillo,0.12.8.1.0,renv_lock,2
cran,RcppArmadillo,0.12.6.4.0,description,1
cran,RcppArmadillo,0.12.8.3.0,renv_lock,1
cran,RcppArmadillo,14.4.1-1,renv_lock,1
cran,RcppArmadillo,14.2.2-1,renv_lock,1
cran,RcppArmadillo,15.2.2-1,renv_lock,1
cran,RcppArmadillo,0.12.6.1.0,description,1
cran,RcppArmadillo,0.9.900.3.0,install,1
cran,RcppArmadillo,0.11.1.1.0,renv_lock,1
cran,RcppArmadillo,15.0.2-2,renv_lock,1
cran,RcppArmadillo,14.6.0-1,renv_lock,1
cran,RcppArmadillo,15.4.0-1,renv_lock,1
cran,RcppArmadillo,0.11.4.2.1,description,1
cran,RcppArmadillo,0.10.2.1.0,description,1
cran,RcppArmadillo,0.12.8.4.0,renv_lock,1
cran,RcppArmadillo,15.2.6-1,renv_lock,1
cran,RcppArmadillo,0.12.4.0.0,renv_lock,1
cran,RcppArmadillo,0.7.500.0.0,install,1
cran,RcppArmadillo,0.10.5.0.0,description,1
cran,RcppArmadillo,0.10.2.2.0,renv_lock,1
cran,RcppArmadillo,14.2.2-1,description,1
cran,RcppArmadillo,0.10.7.3.0,renv_lock,1
cran,RcppArmadillo,0.12.8.2.1,renv_lock,1
cran,RcppCCTZ,0.2.14,description,1
cran,RcppCCTZ,0.2.10,description,1
cran,RcppDate,0.0.6,description,1
cran,RcppDate,0.0.3,description,1
cran,RcppEigen,0.3.4.0.2,renv_lock,48
cran,RcppEigen,0.3.3.9.3,renv_lock,14
cran,RcppEigen,0.3.4.0.0,renv_lock,12
cran,RcppEigen,0.3.3.9.1,renv_lock,8
cran,RcppEigen,0.3.3.9.3,description,6
cran,RcppEigen,0.3.3.9.2,renv_lock,4
cran,RcppEigen,0.3.3.9.1,description,3
cran,RcppEigen,0.3.4.0.0,description,2
cran,RcppEigen,0.3.4.0.2,description,2
cran,RcppEigen,0.3.3.5.0,renv_lock,2
cran,RcppEigen,0.3.3.7.0,renv_lock,2
cran,RcppEigen,0.3.2.9.0,description,1
cran,RcppEigen,0.3.4.0.1,install,1
cran,RcppEigen,0.3.3.4.0,description,1
cran,RcppEigen,0.3.2.9.0,install,1
