collection_id,source,dataset_id,persistent_id,protocol,authority,identifier,publication_date
restat,dataverse,,https://doi.org/10.7910/DVN/IO8NQU,doi,10.7910,DVN/IO8NQU,2019-07-17
restat,dataverse,,https://doi.org/10.7910/DVN/LZOGOB,doi,10.7910,DVN/LZOGOB,2019-12-19
restat,dataverse,,https://doi.org/10.7910/DVN/WPTLQP,doi,10.7910,DVN/WPTLQP,2020-01-22
restat,dataverse,,https://doi.org/10.7910/DVN/14K229,doi,10.7910,DVN/14K229,2020-04-15
restat,dataverse,,https://doi.org/10.7910/DVN/SGJDLC,doi,10.7910,DVN/SGJDLC,2021-03-31
restat,dataverse,,https://doi.org/10.7910/DVN/AGHAM2,doi,10.7910,DVN/AGHAM2,2021-05-18
restat,dataverse,,https://doi.org/10.7910/DVN/CPJUP3,doi,10.7910,DVN/CPJUP3,2021-06-16
restat,dataverse,,https://doi.org/10.7910/DVN/J7LTLI,doi,10.7910,DVN/J7LTLI,2020-08-05
restat,dataverse,,https://doi.org/10.7910/DVN/ZPLSBR,doi,10.7910,DVN/ZPLSBR,2020-11-09
restat,dataverse,,https://doi.org/10.7910/DVN/5LB20Z,doi,10.7910,DVN/5LB20Z,2020-11-16
restat,dataverse,,https://doi.org/10.7910/DVN/IUFTLZ,doi,10.7910,DVN/IUFTLZ,2021-03-16
restat,dataverse,,https://doi.org/10.7910/DVN/XQBGEY,doi,10.7910,DVN/XQBGEY,2021-03-18
restat,dataverse,,https://doi.org/10.7910/DVN/U3QAGB,doi,10.7910,DVN/U3QAGB,2021-03-17
restat,dataverse,,https://doi.org/10.7910/DVN/X3W9MK,doi,10.7910,DVN/X3W9MK,2023-07-26
restat,dataverse,,https://doi.org/10.7910/DVN/2VHAYX,doi,10.7910,DVN/2VHAYX,2021-07-13
restat,dataverse,,https://doi.org/10.7910/DVN/PIAZWN,doi,10.7910,DVN/PIAZWN,2018-05-11
restat,dataverse,,https://doi.org/10.7910/DVN/RHZDPF,doi,10.7910,DVN/RHZDPF,2020-11-30
restat,dataverse,,https://doi.org/10.7910/DVN/FO9PLR,doi,10.7910,DVN/FO9PLR,2021-02-12
restat,dataverse,,https://doi.org/10.7910/DVN/YUMTH5,doi,10.7910,DVN/YUMTH5,2021-03-09
restat,dataverse,,https://doi.org/10.7910/DVN/ZQDPTB,doi,10.7910,DVN/ZQDPTB,2021-04-28
restat,dataverse,,https://doi.org/10.7910/DVN/2RSIXB,doi,10.7910,DVN/2RSIXB,2022-02-14
restat,dataverse,,https://doi.org/10.7910/DVN/MC2AOT,doi,10.7910,DVN/MC2AOT,2022-01-18
restat,dataverse,,https://doi.org/10.7910/DVN/RAXNSH,doi,10.7910,DVN/RAXNSH,2025-07-31
restat,dataverse,,https://doi.org/10.7910/DVN/WCTVTA,doi,10.7910,DVN/WCTVTA,2022-01-18
restat,dataverse,,https://doi.org/10.7910/DVN/LQJ7I0,doi,10.7910,DVN/LQJ7I0,2022-01-31
restat,dataverse,,https://doi.org/10.7910/DVN/HG6X7N,doi,10.7910,DVN/HG6X7N,2022-02-14
restat,dataverse,,https://doi.org/10.7910/DVN/TYVVY2,doi,10.7910,DVN/TYVVY2,2024-03-26
restat,dataverse,,https://doi.org/10.7910/DVN/0BGBPA,doi,10.7910,DVN/0BGBPA,2021-06-23
restat,dataverse,,https://doi.org/10.7910/DVN/EF3AMU,doi,10.7910,DVN/EF3AMU,2022-03-10
restat,dataverse,,https://doi.org/10.7910/DVN/SEAEEM,doi,10.7910,DVN/SEAEEM,2022-04-10
restat,dataverse,,https://doi.org/10.7910/DVN/IPWCES,doi,10.7910,DVN/IPWCES,2024-01-24
restat,dataverse,,https://doi.org/10.7910/DVN/XRVCVG,doi,10.7910,DVN/XRVCVG,2022-05-24
restat,dataverse,,https://doi.org/10.7910/DVN/9SRRLX,doi,10.7910,DVN/9SRRLX,2021-08-19
restat,dataverse,,https://doi.org/10.7910/DVN/7X8SMP,doi,10.7910,DVN/7X8SMP,2025-05-26
restat,dataverse,,https://doi.org/10.7910/DVN/CCRZPN,doi,10.7910,DVN/CCRZPN,2025-06-05
restat,dataverse,,https://doi.org/10.7910/DVN/OHUWKM,doi,10.7910,DVN/OHUWKM,2015-08-19
restat,dataverse,,https://doi.org/10.7910/DVN/R193JO,doi,10.7910,DVN/R193JO,2015-12-16
restat,dataverse,,https://doi.org/10.7910/DVN/NKWMQM,doi,10.7910,DVN/NKWMQM,2016-03-17
restat,dataverse,,https://doi.org/10.7910/DVN/PPMUSK,doi,10.7910,DVN/PPMUSK,2025-01-06
restat,dataverse,,https://doi.org/10.7910/DVN/VYGD8T,doi,10.7910,DVN/VYGD8T,2025-01-08
restat,dataverse,,https://doi.org/10.7910/DVN/VUCWUM,doi,10.7910,DVN/VUCWUM,2025-01-21
restat,dataverse,,https://doi.org/10.7910/DVN/MNCIDW,doi,10.7910,DVN/MNCIDW,2025-01-21
restat,dataverse,,https://doi.org/10.7910/DVN/7MBEPB,doi,10.7910,DVN/7MBEPB,2024-09-23
restat,dataverse,,https://doi.org/10.7910/DVN/28KXCS,doi,10.7910,DVN/28KXCS,2024-09-30
restat,dataverse,,https://doi.org/10.7910/DVN/XSVITM,doi,10.7910,DVN/XSVITM,2024-12-10
restat,dataverse,,https://doi.org/10.7910/DVN/UVSLIN,doi,10.7910,DVN/UVSLIN,2025-02-18
restat,dataverse,,https://doi.org/10.7910/DVN/RE2FIL,doi,10.7910,DVN/RE2FIL,2024-02-29
restat,dataverse,,https://doi.org/10.7910/DVN/S7SO3O,doi,10.7910,DVN/S7SO3O,2024-02-28
restat,dataverse,,https://doi.org/10.7910/DVN/3ZWJLB,doi,10.7910,DVN/3ZWJLB,2024-06-17
restat,dataverse,,https://doi.org/10.7910/DVN/0AILQP,doi,10.7910,DVN/0AILQP,2024-08-22
restat,dataverse,,https://doi.org/10.7910/DVN/9W8D9R,doi,10.7910,DVN/9W8D9R,2012-04-17
restat,dataverse,,https://doi.org/10.7910/DVN/EPF255,doi,10.7910,DVN/EPF255,2012-01-13
restat,dataverse,,https://doi.org/10.7910/DVN/XKETSJ,doi,10.7910,DVN/XKETSJ,2012-01-13
restat,dataverse,,https://doi.org/10.7910/DVN/QQQFMN,doi,10.7910,DVN/QQQFMN,2012-08-03
restat,dataverse,,https://doi.org/10.7910/DVN/438KUP,doi,10.7910,DVN/438KUP,2012-09-28
restat,dataverse,,https://doi.org/10.7910/DVN/27515,doi,10.7910,DVN/27515,2014-10-07
restat,dataverse,,https://doi.org/10.7910/DVN/27521,doi,10.7910,DVN/27521,2014-10-07
restat,dataverse,,https://doi.org/10.7910/DVN/26180,doi,10.7910,DVN/26180,2014-05-27
restat,dataverse,,https://doi.org/10.7910/DVN/LMGLLP,doi,10.7910,DVN/LMGLLP,2012-04-17
restat,dataverse,,https://doi.org/10.7910/DVN/C7KPZK,doi,10.7910,DVN/C7KPZK,2012-01-25
restat,dataverse,,https://doi.org/10.7910/DVN/26904,doi,10.7910,DVN/26904,2015-03-26
restat,dataverse,,https://doi.org/10.7910/DVN/27117,doi,10.7910,DVN/27117,2014-09-05
restat,dataverse,,https://doi.org/10.7910/DVN/WS02O2,doi,10.7910,DVN/WS02O2,2010-09-17
